EN	SA	2.08
WI	PA	5.8
NZ	SL	5.75
AU	AF	1.86
BA	SA	0.42
PA	EN	0.28
SL	AF	0.83
IN	SA	0.3
NZ	BA	0.38
AU	WI	0.3
EN	BA	2.12
NZ	AF	1.94
IN	AU	0.72
AU	PA	0.82
EN	WI	2.18
AU	SL	1.74
SA	AF	1.94
IN	PA	2.225
BA	WI	1.34
EN	AF	3
NZ	SA	0.08
AU	BA	0.96
SL	EN	0.4
IN	AF	0.22
NZ	WI	0.1
PA	SA	0.98
BA	AF	1.24
AU	EN	1.28
PA	NZ	0.16
IN	WI	2.5
SA	SL	1.46
PA	AF	0.09
AU	NZ	1.72
EN	IN	0.62
SL	WI	0.46
IN	BA	0.56
EN	NZ	2.38
WI	AF	0.46
